Food Item,Ingredients,Allergens,Alternative Ingredients,Calories
Dal Makhani,"Lentils, Butter, Cream",Dairy,"Oil, Coconut milk",202
Rasgulla,"Milk, Sugar",Dairy,Dairy-free milk,535
Spring Roll,"Flour, Cabbage, Carrots, Soy Sauce","Gluten, Soy","Rice paper, Tamari sauce",370
Butter Chicken,"Chicken, Cream, Tomato",Dairy,Coconut cream,206
Kheer,"Rice, Milk, Sugar",Dairy,Coconut milk,171
Rajma Chawal,"Kidney Beans, Rice, Tomato",,,120
Rajma Chawal,"Kidney Beans, Rice, Tomato",,,714
Biryani,"Rice, Spices, Yogurt",Dairy,Coconut yogurt,221
Mango Shake,"Mango, Milk, Sugar",Dairy,Coconut milk,566
Lassi,"Yogurt, Sugar",Dairy,Coconut yogurt,314
Kheer,"Rice, Milk, Sugar",Dairy,Coconut milk,430
Filter Coffee,"Coffee, Milk, Sugar",Dairy,"Soy milk, Oat milk",558
Aloo Tikki,"Potatoes, Breadcrumbs, Spices",Gluten,Cornflour,187
Pav Bhaji,,,,472
Cold Coffee,"Coffee, Milk, Sugar",Dairy,"Almond milk, Oat milk",199
Butter Chicken,"Chicken, Cream, Tomato",Dairy,Coconut cream,763
Kulfi,"Milk, Sugar, Nuts","Dairy, Nuts","Coconut milk, Nut-free version",230
Poha,,,,761
Paneer Tikka,"Paneer, Yogurt, Spices",Dairy,"Tofu, Dairy-free yogurt",408
Pav Bhaji,,,,443
Pav Bhaji,,,,591
Samosa,"Potatoes, Peas, Flour, Spices",Gluten,Gluten-free flour,513
Pav Bhaji,,,,485
Rasgulla,"Milk, Sugar",Dairy,Dairy-free milk,291
Paneer Tikka,"Paneer, Yogurt, Spices",Dairy,"Tofu, Dairy-free yogurt",376
Gulab Jamun,"Milk Solids, Sugar, Flour","Dairy, Gluten","Dairy-free milk powder, Gluten-free flour",260
Butter Chicken,"Chicken, Cream, Tomato",Dairy,Coconut cream,559
Cold Coffee,"Coffee, Milk, Sugar",Dairy,"Almond milk, Oat milk",413
Pav Bhaji,,,,121
